"School ID","School Ministry Number","School Name","Year Established","School Classification","Education Office","District Name","Administrative Region","Administrative Contry","Administrative Centers","School Address","School Phone","School Fax","Study Level","School Gender","Student Count","Saudi Student Count","NonSaudi Student Count","Teachers Count","Saudi Teacher Count","NonSaudi Teacher Count","Classes Count"
"28418","62707","Alhabab Elementary School at Wadi Melah","","Ш­ЩѓЩ€Щ…ЩЉ","ШёЩ‡Ш±Ш§Щ† Ш§Щ„Ш¬Щ†Щ€ШЁ","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Щ†Ш·Щ‚Ш© Ш№ШіЩЉШ±","Ш№ШіЩЉШ±","ШёЩ‡Ш±Ш§Щ† Ш§Щ„Ш¬Щ†Щ€ШЁ","ШёЩ‡Ш±Ш§Щ† Ш§Щ„Ш¬Щ†Щ€ШЁ","Щ…Щ„Ш§Ш­","62707@asedu.gov.sa","72550564","0","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш§ШЁШЄШЇШ§Ш¦ЩЉШ©","ШЁЩ†Ш§ШЄ","3","3","0","5","5","0","2"
"56205","143509","Kindergarten first Baqragher","","?????","???? ??????? ???????? ??????","????? ??????? ???????? ??????? ?????","??????? ???????","","","","","","","???? ?????","????","0","0","0","0","0","0","0"
"29739","80196","The Primary School of That Ennetaqain for Quran Memorization in Beljurushi","1407","حكومي","مكتب التربية والتعليم ببلجرشي","الإدارة العامة للتربية والتعليم بمنطقة الباحة","الباحة","بالجرشي","بلجرشي","بلجرشي حي قابل بجوار بلدية بلجرشي","80196@bahaedu.gov.sa","077221590","077221590","المرحلة الابتدائية","بنات","147","120","27","26","26","0","10"
"23870","86171","a","1413","????","????? ??????? ???????? ??????? ??????? ????","????? ??????? ???????? ??????? ???????","?????","???????","???????","??????? - ?????","edu@edu.com","6426688","0146426688","??????? ??????????","????","264","234","30","26","7","19","13"
"26646","41566","The 50th Elementary School at Madinah","1405","حكومي","مكتب التربية والتعليم شمال المدينة المنورة","الإدارة العامة للتربية والتعليم بمنطقة المدينه المنورة","المدينة المنورة","المدينة المنورة","المدينة المنورة","السحمان - خلف مؤسسة النقد بجوارب20","school502010@hotmail.com","8385732","","المرحلة الابتدائية","بنات","402","143","259","33","33","0","15"
"24174","90149","AL-Faroq Elementary School","1397","?????","???? ??????? ???????? ?? ?????","????? ??????? ???????? ??????? ????","?????","?????","?????","???? - ????? - ???? ?????","sch149@sabiaedu.gov.sa","3460436","0","??????? ??????????","????","221","213","8","18","18","0","11"
"12461","87369","alhejfaar","","حكومي","صامطة","الإدارة العامة للتربية والتعليم بمنطقة جازان","جازان","صامطة","السهى","جازان - الحجفار","87369@jazanedu.gov.sa","3132133","0","المرحلة المتوسطة","بنين","57","56","1","13","13","0","6"
"48897","174505","umsalmh","1434","Ш­ЩѓЩ€Щ…ЩЉ","Ш§Щ„Ш­Ш§Ш¦Ш·","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Щ†Ш·Щ‚Ш© Ш­Ш§Ш¦Щ„","Ш­Ш§Ш¦Щ„","Ш§Щ„ШєШІШ§Щ„Ш©","Ш§Щ„ШєШІШ§Щ„Ш©","","","","","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш§ШЁШЄШЇШ§Ш¦ЩЉШ©","ШЁЩ†Ш§ШЄ","16","16","0","4","4","0","2"
"6885","56319","The1st Secondary School for Adults in Abqaiq","","?????","???? ??????? ???????? ??????? ????","??????? ?????? ??????? ???????? ???????? ???????","???????","?????","?????","0","55515@girlseduep.gov.sa","5660944","","??????? ????????","????","13","13","0","22","22","0","2"
"25063","22087","SAR","1402","Ш­ЩѓЩ€Щ…ЩЉ","Щ…ЩѓШЄШЁ Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€ Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁШ§Щ„Щ‚Щ€ЩЉШ№ЩЉШ©","ШҐШЇШ§Ш±Ш© Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Ш­Ш§ЩЃШёШ© Ш§Щ„Щ‚Щ€ЩЉШ№ЩЉШ©","Ш§Щ„Ш±ЩЉШ§Ш¶","Ш§Щ„Щ‚Щ€ЩЉШ№ЩЉШ©","Ш§Щ„ЩЃЩ€ЩЉЩ„Щ‚","Ш§Щ„Щ‚Щ€ЩЉШ№ЩЉШ© - Ш§Щ„ЩЃЩ€ЩЉЩ„Щ‚","","6533040","0","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш§ШЁШЄШЇШ§Ш¦ЩЉШ©","ШЁЩ†Ш§ШЄ","109","105","4","12","12","0","6"
"15869","77719","The 1st Intermediate School at Alagan","1419","Ш­ЩѓЩ€Щ…ЩЉ","Щ…Ш±ЩѓШІ Ш§ШґШ±Ш§ЩЃ Ш­Щ‚Щ„","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Щ†Ш·Щ‚Ш© ШЄШЁЩ€Щѓ","ШЄШЁЩ€Щѓ","Ш­Щ‚Щ„","Ш№Щ„Щ‚Ш§Щ†","Щ‚Ш±ЩЉШ© Ш№Щ„Щ‚Ш§Щ†","hilh2@hotmail.com","4432318","0","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Щ…ШЄЩ€ШіШ·Ш©","ШЁЩ†Ш§ШЄ","34","34","0","11","11","0","4"
"24514","93471","Al-Imam Hafs for qoran Memorzing","1422","Ш­ЩѓЩ€Щ…ЩЉ","Щ…ЩѓШЄШЁ Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ†Ш¬Ш±Ш§Щ†","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Щ†Ш·Щ‚Ш© Щ†Ш¬Ш±Ш§Щ†","Щ†Ш¬Ш±Ш§Щ†","Ш®ШЁШ§Шґ","Ш®ШЁШ§Шґ","Ш§Щ„Щ…ШґШ№Щ„ЩЉШ©","abomosab60@hotmail.com","075434429","5434130","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш§ШЁШЄШЇШ§Ш¦ЩЉШ©","ШЁЩ†ЩЉЩ†","132","96","36","18","18","0","6"
"475","11206","Al-Fursan National Secondary School","","أهلي","مكتب التربية والتعليم بالشمال","الإدارة العامة للتربية والتعليم الرياض","الرياض","الرياض","الرياض","الرياض - حي النزهة - ش آل عساكر","mangersec@yahoo.com","","920003451","المرحلة الثانوية","بنين","120","108","12","24","5","19","5"
"15610","71304","Al-Berk Intermediate School","","حكومي","البرك","الإدارة العامة للتربية والتعليم بمحافظة محايل عسير","عسير","البرك","البرك","البرك","alberk-t@hotmail.com","072412585","","المرحلة المتوسطة","بنات","205","203","2","23","23","0","7"
"26371","35396","Raedat Almustaqbal Elementary School","1430","أهلي","مكتب إدارة التربية والتعليم- بشمال جدة","الإدارة العامة للتربية والتعليم بمحافظة جدة","مكة المكرمة","جده","جدة","حي الزهراء - شارع حراءخلف عالم العصائر","futureleaders.edu.sa@gmail.com","6988819","6911134","المرحلة الابتدائية","بنات","83","65","18","15","12","3","6"
"15848","77698","Medium aloeenah first in Tabuk","1415","Ш­ЩѓЩ€Щ…ЩЉ","Щ…ЩѓШЄШЁ Ш§ШґШ±Ш§ЩЃ Щ‚Ш±Щ‰ ШЄШЁЩ€Щѓ","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Щ†Ш·Щ‚Ш© ШЄШЁЩ€Щѓ","ШЄШЁЩ€Щѓ","ШЄШЁЩ€Щѓ","Ш№ЩЉЩЉЩ†Ш© ШЁШ­Ш§Щ„Ш© Ш№Щ…Ш§Ш±","Ш§Щ„Ш№ЩЉЩ†ЩЉШ©","oyaynah@hotmail.com","4511500","0","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Щ…ШЄЩ€ШіШ·Ш©","ШЁЩ†Ш§ШЄ","112","111","1","13","13","0","6"
"22885","73141","ALKHUTTAH","1394","حكومي","مكتب التربية والتعليم بالشمال","الإدارة العامة للتربية والتعليم بمنطقة حائل","حائل","حائل","الخطة","الخطة","b73141@hailsa.gov.sa","5390092","0","المرحلة الابتدائية","بنين","166","157","9","16","16","0","8"
"4476","71271","Wadi Baqarah Sconeady School","1417","حكومي","بارق","الإدارة العامة للتربية والتعليم بمحافظة محايل عسير","عسير","بارق","بارق","وادي بقرة","aaaa_1032@hotmail.com","","","المرحلة الثانوية","بنات","177","177","0","16","16","0","11"
"35668","41509","The 4th kindergarten School at Madinah","","حكومي","رياض الأطفال","الإدارة العامة للتربية والتعليم بمنطقة المدينه المنورة","المدينة المنورة","المدينة المنورة","المدينة المنورة","الاسكان الجنوبي - حي مهزور","rawdah4@gmail.com","8489724","","رياض أطفال","بنات","205","203","2","19","19","0","8"
"5342","98009","Saudi school in Algeria","","Ш­ЩѓЩ€Щ…ЩЉ","Ш§Щ„Ш§ШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„Щ…ШЇШ§Ш±Ші Ш§Щ„ШіШ№Щ€ШЇЩЉШ© ШЁШ§Щ„Ш®Ш§Ш±Ш¬","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„Щ…ШЇШ§Ш±Ші Ш§Щ„ШіШ№Щ€ШЇЩЉШ© ШЁШ§Щ„Ш®Ш§Ш±Ш¬","Ш§Щ„Ш±ЩЉШ§Ш¶","","","","","","","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш«Ш§Щ†Щ€ЩЉШ©","Щ…ШЇШ§Ш±Ші Ш§Щ„Ш®Ш§Ш±Ш¬","99","11","88","45","13","32","13"
"13612","30914","Al-Daghmeyah Intermediate School at Al-Khormah","1413","?????","???? ??????? ? ??????? ???????","??????? ?????? ??????? ???????? ??????? ??????","??? ???????","??????","??????","???????","30914@taifged.gov.sa","8330155","0","??????? ????????","????","180","177","3","28","28","0","9"
"25813","30722","A'Silmeyah Elementary","1413","حكومي","مكتب التربيه و التعليم بالخرمه","الإدارة العامة للتربية والتعليم بمحافظة الطائف","مكة المكرمة","الخرمة","الخرمة","السلمية","30722@taifgdue.gov.sa","28435040","0","المرحلة الابتدائية","بنات","55","55","0","13","13","0","6"
"33082","26664","Hramain","","حكومي","مكتب التربية والتعليم بجنوب مكة المكرمة","الإدارة العامة للتربية و التعليم بمنطقة مكة المكرمة","مكة المكرمة","مكة المكرمة","مكة المكرمة","حي العزيزية / خلف ادارة التعليم","pr26257@makkahedu.gov.sa","5561236","5561236","المرحلة الابتدائية","بنين","28","19","9","11","11","0","4"
"15906","77966","The 4th Intermediate School at al wajah","1424","حكومي","مركز اشراف الوجه","الإدارة العامة للتربية والتعليم بمنطقة تبوك","تبوك","الوجه","الوجه","حي الفيصلية","school-m4@hotmail.com","4424653","24653","المرحلة المتوسطة","بنات","280","270","10","24","24","0","11"
"2474","86219","Qortobah Night","1426","حكومي","إدارة التربية والتعليم بمحافظة القريات بنين","إدارة التربية والتعليم بمحافظة القريات","الجوف","القريات","القريات","القريات - حي المطار","86219@qedu.gov.sa","6046421711","","المرحلة الثانوية","بنين","291","291","0","23","22","1","14"
"26147","34207","The 4th Holy Quran Memorization Elementary School","1413","حكومي","مكتب إدارة التربية والتعليم - بجنوب شرق جدة","الإدارة العامة للتربية والتعليم بمحافظة جدة","مكة المكرمة","جده","جدة","الروابي","34207@jedu.gov.sa","2806366","0","المرحلة الابتدائية","بنات","232","231","1","32","32","0","13"
"25543","27773","The 5th Elementary School At Khlais","1420","حكومي","مكتب إدارة التربية والتعليم -خليص","الإدارة العامة للتربية والتعليم بمحافظة جدة","مكة المكرمة","خليص","خليص","حي البرقاء","34033@jedu.gov.sa","2131349","0","المرحلة الابتدائية","بنات","62","62","0","14","14","0","6"
"5100","76674","Alassafiyah Secondary School","1428","حكومي","محافظة تيماء","الإدارة العامة للتربية والتعليم بمنطقة تبوك","تبوك","تيماء","العسافية","تيماء - العسافية","assafeiah@hotmail.com","","","المرحلة الثانوية","بنين","49","49","0","12","11","1","3"
"2248","76430","Alabnaa Althania Secondary Scho","1401","حكومي","تبوك","الإدارة العامة للتربية والتعليم بمنطقة تبوك","تبوك","تبوك","تبوك","قاعدة الملك فيصل بتبوك","tabuk.76430@gmail.com","044239108","044239108","المرحلة الثانوية","بنين","210","210","0","21","19","2","9"
"47733","22409","aa","","Ш­ЩѓЩ€Щ…ЩЉ","Щ…ЩѓШЄШЁ Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€ Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁШ§Щ„Щ‚Щ€ЩЉШ№ЩЉШ©","ШҐШЇШ§Ш±Ш© Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Ш­Ш§ЩЃШёШ© Ш§Щ„Щ‚Щ€ЩЉШ№ЩЉШ©","Ш§Щ„Ш±ЩЉШ§Ш¶","","","","","","","ШЄШ№Щ„ЩЉЩ… ЩѓШЁШ§Ш±","ШЁЩ†Ш§ШЄ","35","26","9","5","5","0","4"
"27714","55182","The 4th Elementary School in Al-Jubail","1401","حكومي","مكتب التربية والتعليم بمحافظة الجبيل","الإدارة العامة للتربية والتعليم بالمنطقة الشرقية","الشرقية","الجبيل","الجبيل","الجبيل الصناعية - اللؤلؤ","g55182@schooleast.gov.sa","3416340","3416340","المرحلة الابتدائية","بنات","619","597","22","55","55","0","27"
"20212","36174","alkhaldiah","","حكومي","القنفذة","إدارة التربية والتعليم بمحافظة القنفذة","مكة المكرمة","القنفذه","القنفذة","القنفذة","w@quedu.gov.sa","7324118","0","المرحلة الابتدائية","بنين","308","261","47","26","26","0","12"
"4569","74902","Asbetr Secondary School","1418","Ш­ЩѓЩ€Щ…ЩЉ","Ш§Щ„ШґЩ…Щ„ЩЉ","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Щ†Ш·Щ‚Ш© Ш­Ш§Ш¦Щ„","Ш­Ш§Ш¦Щ„","Ш­Ш§Ш¦Щ„","Ш№Щ…Ш§ЩЉШ± ШЁЩ† ШµЩ†Ш№Ш§ШЎ","Ш­Ш§Ш¦Щ„-Ш§ШіШЁШ·Ш±","fatmah55555@hotmail.com","2370267","","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш«Ш§Щ†Щ€ЩЉШ©","ШЁЩ†Ш§ШЄ","310","310","0","18","18","0","13"
"18322","11351","Abi Naieem Elementary School","","حكومي","مكتب التربية والتعليم بالعزيزية","الإدارة العامة للتربية والتعليم الرياض","الرياض","","","حي المنصورة","pgmsnaeem@riyadhedu.gov.sa","4474178","0","المرحلة الابتدائية","بنين","342","165","177","19","19","0","13"
"30532","94040","Aprima haertalsalam","1408","حكومي","نجران","الإدارة العامة للتربية والتعليم بمنطقة نجران","نجران","نجران","نجران","حائره السلم","abt94040@najranedug.gov.sa","0","0","المرحلة الابتدائية","بنات","276","263","13","23","23","0","13"
"26933","42418","The First elementary school in althekrah","1426","Ш­ЩѓЩ€Щ…ЩЉ","ШҐШЇШ§Ш±Ш© Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Ш­Ш§ЩЃШёШ© Ш§Щ„Щ…Щ‡ШЇ","ШҐШЇШ§Ш±Ш© Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Ш­Ш§ЩЃШёШ© Ш§Щ„Щ…Щ‡ШЇ","Ш§Щ„Щ…ШЇЩЉЩ†Ш© Ш§Щ„Щ…Щ†Щ€Ш±Ш©","Ш§Щ„Щ…Щ‡ШЇ","Ш«Ш±ШЁ","Ш«Ш±ШЁ - Ш§Щ„Ш°ЩѓШ±Ш©","hadwa.2010@hotmail.com","555119745","1111111111","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Ш§ШЁШЄШЇШ§Ш¦ЩЉШ©","ШЁЩ†Ш§ШЄ","21","21","0","12","12","0","6"
"48160","59301","UM ALMUAMNIN MAIMUNA BINT ALHARITH ELEMENTARY SCHOOL","1434","حكومي","مكتب التربية والتعليم بالمبرز","الإدارة العامة للتربية والتعليم بمحافظة الاحساء","الشرقية","الإحساء","الأحساء","القادسية .","p59301@hasaedu.info","","","المرحلة الابتدائية","بنات","173","170","3","20","20","0","7"
"36775","11711","Al-Ebtekareah National Secondary School","","أهلي","مكتب التربية والتعليم بالروضة","الإدارة العامة للتربية والتعليم الرياض","الرياض","الرياض","الرياض","حي الملك فيصل","ebtekaria@hotmail.com","2483301","0112490390","المرحلة الثانوية","بنين","124","122","2","29","7","22","6"
"49921","59233","THE FIRST KINDERCARDEN IN ALMIGDAM","1433","حكومي","إدارة رياض الاطفال","الإدارة العامة للتربية والتعليم بمحافظة الاحساء","الشرقية","الإحساء","الأحساء","قرية المقدام","k59233@hasaedu.info","","","رياض أطفال","بنات","52","51","1","6","6","0","3"
"17883","10241","Omar bin Abdulaziz Elementary School","","حكومي","مكتب التربية والتعليم بالجنوب","الإدارة العامة للتربية والتعليم الرياض","الرياض","الرياض","الرياض","نمار","pgmdomarbin@riyadhedu.gov.sa","4211759","0","المرحلة الابتدائية","بنين","197","102","95","16","16","0","10"
"29620","80056","The Primary School of Om Shuraik Khawla bint Hakeem in Alathumma","1403","حكومي","مكتب التربية والتعليم بالوسط","الإدارة العامة للتربية والتعليم بمنطقة الباحة","الباحة","الباحة","الباحة","الاثمة","80056@bahaedu.gov.sa","7253404","","المرحلة الابتدائية","بنات","98","82","16","17","17","0","6"
"23312","76411","Alabnaa Alola Primary School","1384","حكومي","تبوك","الإدارة العامة للتربية والتعليم بمنطقة تبوك","تبوك","تبوك","تبوك","مدينة الملك عبدالعزيز العسكرية حي السلامة","saed1384@hotmail.com","4410128","0","المرحلة الابتدائية","بنين","368","368","0","25","25","0","14"
"16004","80285","The intermediate school of omaamh bnt abe alass at asgrah","1401","Ш­ЩѓЩ€Щ…ЩЉ","Щ…ЩѓШЄШЁ Ш§Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁШ§Щ„Щ…Щ†ШЇЩ‚","Ш§Щ„ШҐШЇШ§Ш±Ш© Ш§Щ„Ш№Ш§Щ…Ш© Щ„Щ„ШЄШ±ШЁЩЉШ© Щ€Ш§Щ„ШЄШ№Щ„ЩЉЩ… ШЁЩ…Щ†Ш·Щ‚Ш© Ш§Щ„ШЁШ§Ш­Ш©","Ш§Щ„ШЁШ§Ш­Ш©","Ш§Щ„Щ…Щ†ШЇЩ‚","ШЁЩ†ЩЉ Ш­ШіЩ†","Ш§Щ„Ш№ЩЃЩ€Шµ","80285@bahaedu.gov.sa","7315389","0","Ш§Щ„Щ…Ш±Ш­Щ„Ш© Ш§Щ„Щ…ШЄЩ€ШіШ·Ш©","ШЁЩ†Ш§ШЄ","120","117","3","16","16","0","7"
